TweetTime,Tweet,Location,FollowersCount,FriendsCount,ListedCount,FavouritesCount,StatusesCount,UserCreatedAt,Lang
Wed Sep 17 21:34:13 +0000 2014,"b'Obam\'s ""UK is extraordinary partner &amp; force for good. I hope it remains strong, robust, united"" trumps #Salmond\'s tory toffs barbs #indyref'",Salisbury ,622,623,32,136,22546,Wed Aug 03 21:51:53 +0000 2011,en
Wed Sep 17 21:33:42 +0000 2014,b'RT @theactualpolson: RT @wishartwealth How does #Salmond make you really feel flowchart http://t.co/HmDUxV7QXD *genius*',"Bath, UK",131,65,5,206,967,Wed Mar 23 14:57:18 +0000 2011,en
Wed Sep 17 21:30:35 +0000 2014,"b""RT @Sparkle__Monkey: Nice speech, there's something in my eye #Salmond""","Edinburgh, Scotland",3715,3744,37,444,37098,Sun Oct 21 20:54:53 +0000 2012,en
Wed Sep 17 21:29:07 +0000 2014,b'Salmond would have been happy 2 deal with @rupertmurdoch until that went South. #Salmond judgment matters #CultofSalmond #indyref',Edinburgh,633,3375,16,1269,19448,Tue Dec 14 14:29:25 +0000 2010,en
Wed Sep 17 21:28:34 +0000 2014,b'RT @NaraHodge: Whatever is the result of #indyref one thing cannot be denied- Alex #Salmond managed to divide the country in a spectacular \\u2026',london,960,2152,29,4546,30847,Mon Sep 06 21:31:27 +0000 2010,en
Wed Sep 17 21:28:05 +0000 2014,b'Scottish National Party leader #Salmond pledges fealty to US imperialism - World Socialist Web Site http://t.co/bwpaTDydeV #indyref',Worldwide,3753,2572,96,492,13668,Wed Jan 05 17:27:49 +0000 2011,en
Wed Sep 17 21:24:48 +0000 2014,"b'What with the #shetlands considering not following #salmond, do you think the #orkneys would look at #crowndependency status? #indyref'",London Europe ,10216,6014,258,98430,318340,Thu Mar 22 22:25:39 +0000 2012,en
Wed Sep 17 21:23:25 +0000 2014,"b'Salmond trusted Goodwin and sent him billet-doux. He trusted Trump, overran local accountability 4 him and was shafted #Salmond is the issue'",Edinburgh,633,3375,16,1269,19448,Tue Dec 14 14:29:25 +0000 2010,en
Wed Sep 17 21:23:09 +0000 2014,b'RT @bloxhamangel: Last time I saw a bigger egomaniac was #blair just before Iraq. That #salmond has the same look. In it for himself #greed\\u2026',White Post Road,304,400,3,995,3406,Mon May 14 13:32:47 +0000 2012,en
Wed Sep 17 21:21:14 +0000 2014,"b'RT @Paul1Singh: @WhiteHouse Barak Obama hopes that the United Kingdom remains strong, robust and United #indyref #nothanks #Salmond http://\\u2026'",Europe,309,457,22,763,3005,Tue Jun 09 14:44:47 +0000 2009,en
Wed Sep 17 21:19:21 +0000 2014,b'@LouiseMensch #Salmond just another lie.http://t.co/DNh6K5Qluf',Grounded,867,483,51,69783,67169,Fri Oct 01 09:18:55 +0000 2010,en
Wed Sep 17 21:18:21 +0000 2014,b'Scottish independence: Five reasons #Salmond is secretly hoping for a No vote http://t.co/3BLzAWxlr7 #IndyRef Lessons for us all.',"In my bed, tweeting",7972,6697,180,80672,191393,Wed Jun 08 18:46:58 +0000 2011,en
Wed Sep 17 21:15:41 +0000 2014,"b""RT @dmanu99: If I could vote and was undecided before that speech I wouldn't be afterwards.  definitely a YES.  #Salmond""","Clones, Monaghan",374,653,12,4221,9149,Sat Mar 28 16:29:07 +0000 2009,en
